Title,Author(s),Year published,Type,Notes
I Didn't Do It for You: How the World Betrayed a Small African Nation (2005),Michela Wrong,2005,History,Banned in Eritrea in 2014 for its criticism of President Isaias Afewerki.[failed verification]
My Father's Daughter (2005),Hannah Pool,2005,Biography,Banned in Eritrea in 2014 for political content.[failed verification]
Scouting for the Reaper (2014),Jacob M. Appel,2014,Fiction,Banned in Eritrea in 2014 for its criticism of civil liberties under President Isaias Afewerki.[failed verification]
