Title,Author(s),Year published,Type,Notes
Fra Kristiania-Bohêmen,Hans Jæger,1885,Novel,Sexually explicit.
Albertine,Christian Krohg,1886,Novel,Sexually explicit.
Snorri the Seal (1941),Frithjof Sælen,1941,Fable,Satirical book banned during the German occupation of Norway.
The Song of the Red Ruby,Agnar Mykle,1956,Novel,Sexually explicit. Ban lifted 1958.
Without a Stitch,Jens Bjørneboe,1966,Novel,Sexually explicit. Ban never formally lifted.
