Title,Author(s),Year published,Type,Notes
Animal Farm,George Orwell,1945,Political novella,Censored in Vietnam.[citation needed]
Paradise of the Blind,Dương Thu Hương,1988,"Novel, Literary fiction",Censored in Vietnam for criticism on the political party in control.[citation needed]
