Title,Author(s),Year published,Type,Notes
Animal Farm,George Orwell,1945,Political novella,"In 2002, the novel was banned in the schools of the United Arab Emirates, because it contained text or images that would go against Islamic values, most notably an anthropomorphic, talking pig as the leader of the farm. However, the ban is no longer enforced and has been recently lifted."
Goat Days,Benyamin & Joseph Koyippally,2008,Novel,
