Title,Author(s),Year published,Year banned,Year unbanned,Type,Notes
The White Disease (1937),Karel Čapek,1937,1938,1945,Play,Banned by government of Second Czechoslovak Republic in 1938.
Animal Farm (1945),George Orwell,1946,1948,1968,Political novella,Banned by government in 1948.
