Title,Author(s),Year published,Type,Notes
Sophie's Choice (1979),William Styron,1979,Novel,Banned in Lebanon for its positive depiction of Jews.
Schindler's Ark (1982),Thomas Keneally,1982,Novel,Banned in Lebanon for its positive depiction of Jews.
The Da Vinci Code,Dan Brown,2003,Novel,Banned in September 2004 in Lebanon after Catholic leaders deemed it offensive to Christianity. (See Inaccuracies in The Da Vinci Code.)
Grover's Eight Nights of Light,Jodie Shepherd,2017,Sesame Street book,Banned in 2017 for promoting Hanukkah.
