Title,Author(s),Year published,Type,Notes
Queen of Sheba and Biblical Scholarship,Bernard Leeman,,History,Currently banned in Saudi Arabia for suggesting the Hebrews originated in Yemen and their Israelite successors established their original pre-586 B.C.E. kingdoms of Israel and Judah between Medina and Yemen.[citation needed]
Goat Days,Benyamin & Joseph Koyippally,2008,Novel,Currently banned in Saudi Arabia.
Fazail-e-Amaal,Muhammad Zakariya Kandhlawi,Sometime between the 1920s and 1950s,Sufi evangalism,Currently banned in Saudi Arabia.
