Title,Author(s),Year published,Type,Notes
The Boys,Garth Ennis,2012,Comic book series,Banned in Qatar in 2012.[further explanation needed]
The Man Who Wouldn't Stand Up (2012),Jacob M. Appel,2012,Novel,Banned in Qatar in 2014 for its depiction of Islam.
Love Comes Later (2014),Mohanalakshmi Rajakumar,2014,Novel,Banned in Qatar.
