Title,Author(s),Year published,Type,Notes
The Devil's Discus,Rayne Kruger,1964,Non-fiction,Banned in Thailand in 2006 for violating the country's lese-majesté rules through its discussion of the murder of Thailand's king in 1946.[further explanation needed]
The Satanic Verses (1988),Salman Rushdie,1988,Novel,Banned for blasphemy against Islam.
The King Never Smiles (2006),Paul M. Handley,2006,Biography,Banned in Thailand for its criticism of King Bhumibol Adulyadej.
