Title,Author(s),Year published,Type,Notes
How to Read Donald Duck,Ariel Dorfman and Armand Mattelart,1971,Non-fiction,Banned in Pinochet's Chile. The Chilean army publicly burned copies of the book.
The House of the Spirits,Isabel Allende,1982,Novel,Banned in Pinochet's Chile.
Clandestine in Chile,Gabriel García Márquez,1986,Non-fiction,"Banned in Pinochet's Chile. On November 28, 1986, the Chilean customs authorities seized almost 15,000 copies of Clandestine in Chile, which were later burned by military authorities in Valparaíso."
